SL,Name of the Manufacturer,Brand Name,Dosages Description,Generic Name and Strength,DAR,Type
176,Bengal Homoeopathic Laboratory,Gelsemium Sempervirens,Liquid,Gelsemium Sempervirens,H-40-A-30,Homeopathic
177,Bengal Homoeopathic Laboratory,Carataegus Oxyacantha,Liquid,Carataegus Oxyacantha,H-40-A-31,Homeopathic
178,Bengal Homoeopathic Laboratory,Cantharis,Liquid,FALSE,H-40-A-32,Homeopathic
179,Bengal Homoeopathic Laboratory,Chelidonium Majus,Liquid,FALSE,H-40-A-33,Homeopathic
180,Bengal Homoeopathic Laboratory,Justicia Adhatoda,Liquid,FALSE,H-40-A-34,Homeopathic
181,Bengal Homoeopathic Laboratory,Abroma Radix,Liquid,FALSE,H-40-A-35,Homeopathic
182,Bengal Homoeopathic Laboratory,Carica Papaya,Liquid,FALSE,H-40-A-36,Homeopathic
183,Bengal Homoeopathic Laboratory,Atista Radix,Liquid,FALSE,H-40-A-37,Homeopathic
184,Bengal Homoeopathic Laboratory,Kali Phosphoricum,Tablet,Kali Phosphoricum,H-40-A-38,Homeopathic
185,Bengal Homoeopathic Laboratory,Kali Muriaticum,Tablet,Kali Muriaticum,H-40-A-39,Homeopathic
186,Bengal Homoeopathic Laboratory,Ferrum Phosphoricum,Tablet,Ferrum Phosphoricum,H-40-A-40,Homeopathic
187,Bengal Homoeopathic Laboratory,Calcarea Fluoricum,Tablet,Calcarea Fluorica,H-40-A-41,Homeopathic
188,Bengal Homoeopathic Laboratory,Calcarea Phosphirica,Tablet,Calcarea Phosphorica,H-40-A-42,Homeopathic
189,Bengal Homoeopathic Laboratory,Magnesium Phosphoricum,Tablet,Magnesium Phosphoricum,H-40-A-43,Homeopathic
190,Bengal Homoeopathic Laboratory,Kali Sulphuricum,Tablet,Kali Sulphuricum,H-40-A-44,Homeopathic
191,Bengal Homoeopathic Laboratory,Calcarea Sulphurica,Tablet,Calcarea Sulphurica,H-40-A-45,Homeopathic
192,Bengal Homoeopathic Laboratory,Silicea,Tablet,Silicea,H-40-A-46,Homeopathic
193,Bengal Homoeopathic Laboratory,Natrum Sulphuricum,Tablet,Natrum Sulphuricum,H-40-A-47,Homeopathic
194,Bengal Homoeopathic Laboratory,Natrum Phosphoricum,Tablet,Natrum Phosphoricum,H-40-A-48,Homeopathic
195,Bengal Homoeopathic Laboratory,Natrum Mauriaticum,Tablet,Natrum Muriaticum,H-40-A-49,Homeopathic
196,Bengal Homoeopathic Laboratory,Alfalfa,Liquid,Medicago Sativa,H-40-A-50,Homeopathic
197,Bengal Homoeopathic Laboratory,Withania Somnifera,Liquid,Ashwagandha,H-40-A-51,Homeopathic
198,Bengal Homoeopathic Laboratory,Aralia Racemosa,Liquid,FALSE,H-40-A-52,Homeopathic
199,Bengal Homoeopathic Laboratory,Berberis Aquifolium,Liquid,FALSE,H-40-A-53,Homeopathic
200,Bengal Homoeopathic Laboratory,Caladium Seguinum,Liquid,FALSE,H-40-A-54,Homeopathic
201,Bengal Homoeopathic Laboratory,Drosera Rotundifolia,Liquid,FALSE,H-40-A-55,Homeopathic
202,Bengal Homoeopathic Laboratory,Dioscorea Villose,Liquid,FALSE,H-40-A-56,Homeopathic
203,Bengal Homoeopathic Laboratory,Echinacea Angustifolia,Liquid,Echinacea Angustifolia,H-40-A-57,Homeopathic
204,Bengal Homoeopathic Laboratory,Eriodictyon Glutinosum,Liquid,Eriodictyon Glutinosum,H-40-A-58,Homeopathic
205,Bengal Homoeopathic Laboratory,Carduus Marianus,Liquid,FALSE,H-40-A-59,Homeopathic
206,Bengal Homoeopathic Laboratory,Caulophyllum Thalictroides,Liquid,FALSE,H-40-A-60,Homeopathic
207,Bengal Homoeopathic Laboratory,Ceanothus Americanus,Liquid,Ceanothus Americanus,H-40-A-61,Homeopathic
208,Bengal Homoeopathic Laboratory,Chamomilla,Liquid,FALSE,H-40-A-62,Homeopathic
209,Bengal Homoeopathic Laboratory,Chionanthus Virginica,Liquid,FALSE,H-40-A-63,Homeopathic
210,Bengal Homoeopathic Laboratory,Cimicifuga Racemosa,Liquid,FALSE,H-40-A-64,Homeopathic
211,Bengal Homoeopathic Laboratory,Cocculus Indicus,Liquid,Cocculus Indicus,H-40-A-65,Homeopathic
212,Bengal Homoeopathic Laboratory,Colchicum Autamnale,Liquid,FALSE,H-40-A-66,Homeopathic
213,Bengal Homoeopathic Laboratory,Cyclamen Europaeum,Liquid,FALSE,H-40-A-68,Homeopathic
214,Bengal Homoeopathic Laboratory,Euphrasia Officinalis,Liquid,FALSE,H-40-A-69,Homeopathic
215,Bengal Homoeopathic Laboratory,Filix Mas,Liquid,FIilix Mas,H-40-A-70,Homeopathic
216,Bengal Homoeopathic Laboratory,Fraxinus Americana,Liquid,FALSE,H-40-A-71,Homeopathic
217,Bengal Homoeopathic Laboratory,Fucus Vesiculosus,Liquid,FALSE,H-40-A-72,Homeopathic
218,Bengal Homoeopathic Laboratory,Geranium Maculatum,Liquid,Geranium Maculatum,H-40-A-73,Homeopathic
219,Bengal Homoeopathic Laboratory,Guaiacum Officinale,Liquid,Guaiacum,H-40-A-74,Homeopathic
220,Bengal Homoeopathic Laboratory,Hamamelis Virginica,Liquid,FALSE,H-40-A-75,Homeopathic
221,Bengal Homoeopathic Laboratory,Helonias Dioica,Liquid,Helonias Dioica,H-40-A-76,Homeopathic
222,Bengal Homoeopathic Laboratory,Hypericum Perforatum,Liquid,Hypericum Perforatum,H-40-A-77,Homeopathic
223,Bengal Homoeopathic Laboratory,Iris Versicolor,Liquid,FALSE,H-40-A-78,Homeopathic
224,Bengal Homoeopathic Laboratory,Lobella Inflanta,Liquid,FALSE,H-40-A-79,Homeopathic
225,Bengal Homoeopathic Laboratory,Ginseng,Liquid,FALSE,H-40-A-80,Homeopathic
226,Bengal Homoeopathic Laboratory,Millefolium,Liquid,FALSE,H-40-A-81,Homeopathic
227,Bengal Homoeopathic Laboratory,Paeonia Offcinalis,Liquid,Paeonia Officinalis,H-40-A-82,Homeopathic
228,Bengal Homoeopathic Laboratory,Passiflora Incarnata,Liquid,FALSE,H-40-A-83,Homeopathic
229,Bengal Homoeopathic Laboratory,Phytolacca Decandra,Liquid,FALSE,H-40-A-84,Homeopathic
230,Bengal Homoeopathic Laboratory,Podophyllum,Liquid,FALSE,H-40-A-85,Homeopathic
231,Bengal Homoeopathic Laboratory,Ratanhia,Liquid,FALSE,H-40-A-86,Homeopathic
232,Bengal Homoeopathic Laboratory,Rauwolfia Serpentima,Liquid,FALSE,H-40-A-87,Homeopathic
233,Bengal Homoeopathic Laboratory,Robinia Pseudacacia,Liquid,Robinia Pseudacacia,H-40-A-88,Homeopathic
234,Bengal Homoeopathic Laboratory,Ruta Graveolens,Liquid,Ruta Graveolens,H-40-A-89,Homeopathic
235,Bengal Homoeopathic Laboratory,Sabal Serrulata,Liquid,Sabal Serrulata,H-40-A-90,Homeopathic
236,Bengal Homoeopathic Laboratory,Sabina,Liquid,FALSE,H-40-A-91,Homeopathic
237,Bengal Homoeopathic Laboratory,Sanguinaria Canadensis,Liquid,Sanguinaria Canadensis,H-40-A-93,Homeopathic
238,Bengal Homoeopathic Laboratory,Sarsaparilla,Liquid,FALSE,H-40-A-94,Homeopathic
239,Bengal Homoeopathic Laboratory,Senecio Aureus,Liquid,FALSE,H-40-A-95,Homeopathic
240,Bengal Homoeopathic Laboratory,Gossypium,Liquid,FALSE,H-40-A-96,Homeopathic
241,Bengal Homoeopathic Laboratory,Blatta Orientalis,Liquid,FALSE,H-40-A-97,Homeopathic
242,Care Homoeo Laboratory,Aconite Napellus,Liquid,FALSE,H-41-A-1,Homeopathic
243,Care Homoeo Laboratory,Hydratis Canadensis,Liquid,FALSE,H-45-A-2,Homeopathic
244,Care Homoeo Laboratory,Belladonna,Liquid,FALSE,H-45-A-3,Homeopathic
