SL,Name of the Manufacturer,Brand Name,Dosages Description,Generic Name and Strength,DAR,Type
88,A. N. Laboratories Ayurvedic Ltd.,Lox,Liquid,Ginseng,AY-18-A-017,Ayurvedic
89,A.R. Laboratories (Ay),Terbula,Liquid,Dasamularista,AY-92-A-001,Ayurvedic
90,A.R. Laboratories (Ay),Wifera,Liquid,Aswagandharista,AY-92-A-002,Ayurvedic
91,A.R. Laboratories (Ay),Vinira,Liquid,Draksharista,AY-92-A-003,Ayurvedic
92,A.R. Laboratories (Ay),Sukrazin,Semi-Solid,Sukrasanjibani Modak,AY-92-A-004,Ayurvedic
93,A.R. Laboratories (Ay),Sharika,Liquid,Ashokarista,AY-92-A-006,Ayurvedic
94,A.R. Laboratories (Ay),Cydus,Liquid,Mustakarista,AY-92-A-007,Ayurvedic
95,A.R. Laboratories (Ay),Aravindasav,Liquid,Aravindasav,AY-92-A-008,Ayurvedic
96,A.R. Laboratories (Ay),D-Baluncef,Tablet,Bahu Mutrantak Ras,AY-92-A-009,Ayurvedic
97,A.R. Laboratories (Ay),Viglash,Tablet,Ratibilas Bati,AY-92-A-010,Ayurvedic
98,A.R. Laboratories (Ay),A.R. Vigo,Tablet,Joubansatadal,AY-92-A-011,Ayurvedic
99,A.R. Laboratories (Ay),Arom,Tablet,Dhatri Louha (Bhabna),AY-92-A-012,Ayurvedic
100,ACI Ayurvedic,Aswagandharista,Liquid,Aswagandharista,AY-65-A-1,Ayurvedic
101,ACI Ayurvedic,Chandanasav,Liquid,Chandanasav,AY-65-A-2,Ayurvedic
102,ACI Ayurvedic,Saribadyarista,Liquid,Saribadyarista,AY-65-A-3,Ayurvedic
103,ACI Ayurvedic,Dasamularista,Liquid,Dasamularista,AY-65-A-4,Ayurvedic
104,ACI Ayurvedic,Patrangasav,Liquid,Patrangasav,AY-65-A-5,Ayurvedic
105,ACI Ayurvedic,Balarista,Liquid,Balarista,AY-65-A-6,Ayurvedic
106,AD Ayurvedic Laboratories Ltd.,AD-Losi,Liquid,Kalameghasav,AY-200-A-001,Ayurvedic
107,AD Ayurvedic Laboratories Ltd.,AD-Pepsia,Liquid,Mustakarista,AY-200-A-002,Ayurvedic
108,AD Ayurvedic Laboratories Ltd.,Balaron,Liquid,Balarista,AY-200-A-003,Ayurvedic
109,AD Ayurvedic Laboratories Ltd.,AD-Zyme,Liquid,Jamani Arka,AY-200-A-004,Ayurvedic
110,AD Ayurvedic Laboratories Ltd.,AD-Rone,Liquid,Rohitakarista,AY-200-A-006,Ayurvedic
111,AD Ayurvedic Laboratories Ltd.,Mina-Care,Liquid,Aravindasav,AY-200-A-007,Ayurvedic
112,AD Ayurvedic Laboratories Ltd.,AD-Cope,Liquid,Vasakarista / Vasakasav,AY-200-A-008,Ayurvedic
113,AD Ayurvedic Laboratories Ltd.,AD-Urita,Liquid,Amalaki Rasayan,AY-200-A-009,Ayurvedic
114,AD Ayurvedic Laboratories Ltd.,AD-Fo,Liquid,Jambadyarista,AY-200-A-010,Ayurvedic
115,AD Ayurvedic Laboratories Ltd.,AD-Caris,Liquid,Arjunarista,AY-200-A-011,Ayurvedic
116,AD Ayurvedic Laboratories Ltd.,Mideo Min,Syrup,Sanjivani Rasayan,AY-200-A-012,Ayurvedic
117,AD Ayurvedic Laboratories Ltd.,Neuroni,Syrup,Aswagandharista,AY-200-A-013,Ayurvedic
118,AD Ayurvedic Laboratories Ltd.,Chandanasav,Syrup,Chandanasav,AY-200-A-014,Ayurvedic
119,AD Ayurvedic Laboratories Ltd.,AD-Mix,Syrup,Dasamularista,AY-200-A-015,Ayurvedic
120,AD Ayurvedic Laboratories Ltd.,Licourine,Liquid,Patrangasav,AY-200-A-005,Ayurvedic
121,Adlab Ayurvedic,Mustakarista,Liquid,Mustakarista,AY-181-A-001,Ayurvedic
122,Adlab Ayurvedic,Ashokarista,Liquid,Ashokarista,AY-181-A-002,Ayurvedic
123,Adlab Ayurvedic,Patrangasav,Liquid,Patrangasav,AY-181-A-003,Ayurvedic
124,Adlab Ayurvedic,Balarista,Liquid,Balarista,AY-181-A-004,Ayurvedic
125,Adlab Ayurvedic,Arjunarista,Liquid,Arjunarista,AY-181-A-005,Ayurvedic
126,Adlab Ayurvedic,Kutajarista,Liquid,Kutajarista,AY-181-A-006,Ayurvedic
127,Adlab Ayurvedic,Basakarista,Liquid,Vasakarista / Vasakasav,AY-181-A-007,Ayurvedic
128,Adlab Ayurvedic,Amlaki Rasayan,Liquid,Amalaki Rasayan,AY-181-A-008,Ayurvedic
129,Adlab Ayurvedic,Aravindasav,Liquid,Aravindasav,AY-181-A-009,Ayurvedic
130,Adlab Ayurvedic,Gondhak Molam,Ointment,Gandhakadi Malahar / Gandhak Malam,AY-181-A-010,Ayurvedic
131,Adlab Ayurvedic,Mohagni Batika,Tablet,Mahagni Bati,AY-181-A-011,Ayurvedic
132,Adlab Ayurvedic,Louhasav,Liquid,Louhasav,AY-181-A-012,Ayurvedic
133,Adlab Ayurvedic,Chandanasav,Liquid,Chandanasav,AY-181-A-013,Ayurvedic
134,Adlab Ayurvedic,Chyabanprash,Semi-Solid,Chyabanprash,AY-181-A-014,Ayurvedic
135,Adlab Ayurvedic,Raja Probartani,Tablet,Raja Prabartini Bati,AY-181-A-015,Ayurvedic
136,Akram Laboratories (Ayurvedic),Aritona,Liquid,Baladi Kwath,AY-102-A-004,Ayurvedic
137,Akram Laboratories (Ayurvedic),Akroferon,Liquid,Louhasav,AY-102-A-001,Ayurvedic
138,Akram Laboratories (Ayurvedic),Leucocide,Liquid,Darbadi Kwath,AY-102-A-005,Ayurvedic
139,Akram Laboratories (Ayurvedic),Akrovus,Liquid,Drakshadi Kwath,AY-102-A-002,Ayurvedic
140,Akram Laboratories (Ayurvedic),A-Digest,Liquid,Mustakarista,AY-102-A-003,Ayurvedic
141,Akram Laboratories (Ayurvedic),HP-500,Syrup,Bhimras,AY-102-A-039,Ayurvedic
142,Akram Laboratories (Ayurvedic),A-Piles,Liquid,Abhayarista,AY-102-A-041,Ayurvedic
143,Akram Laboratories (Ayurvedic),Pedi Care,Syrup,Aravindasav,AY-102-A-040,Ayurvedic
144,Akram Laboratories (Ayurvedic),Alvasim,Syrup,Vasakarista / Vasakasav,AY-102-A-042,Ayurvedic
145,Akram Laboratories (Ayurvedic),Livadex,Syrup,Kalameghasav,AY-102-A-043,Ayurvedic
146,Akram Laboratories (Ayurvedic),Menocare,Liquid,Ashokarista,AY-102-A-007,Ayurvedic
147,Akram Laboratories (Ayurvedic),A-Card,Liquid,Arjunarista,AY-102-A-006,Ayurvedic
148,Akram Laboratories (Ayurvedic),Sustagim,Liquid,Aswagandharista,AY-102-A-008,Ayurvedic
149,Akram Laboratories (Ayurvedic),Akrocid,Liquid,Amalaki Rasayan,AY-102-A-009,Ayurvedic
150,Akram Laboratories (Ayurvedic),A-Alko,Liquid,Chandanasav,AY-102-A-010,Ayurvedic
151,Akram Laboratories (Ayurvedic),Amiton Plus,Liquid,Dasamularista,AY-102-A-011,Ayurvedic
152,Akram Laboratories (Ayurvedic),Patrangasav,Liquid,Patrangasav,AY-102-A-012,Ayurvedic
153,Akram Laboratories (Ayurvedic),Balauit,Liquid,Balarista,AY-102-A-013,Ayurvedic
154,Akram Laboratories (Ayurvedic),Skinil,Liquid,Saribadyarista,AY-102-A-014,Ayurvedic
155,Akram Laboratories (Ayurvedic),Heptagim,Liquid,Rohitakarista,AY-102-A-023,Ayurvedic
156,Akram Laboratories (Ayurvedic),Jambadyarista,Liquid,Jambadyarista,AY-102-A-024,Ayurvedic
157,Akram Laboratories (Ayurvedic),Amoneed,Liquid,Kutajarista,AY-102-A-025,Ayurvedic
158,Akram Laboratories (Ayurvedic),Memoton,Liquid,BrahmiRasayan / Sarswatarista,AY-102-A-026,Ayurvedic
159,Akram Laboratories (Ayurvedic),Rheumin,Tablet,Vat Gajangkus,AY-102-A-017,Ayurvedic
160,Akram Laboratories (Ayurvedic),Kamini Gold,Tablet,Kamini Vidravan Ras,AY-102-A-016,Ayurvedic
161,Akram Laboratories (Ayurvedic),Dysentgin,Tablet,Kutajaghana Bati/Kutaja Bati,AY-102-A-038,Ayurvedic
162,Akram Laboratories (Ayurvedic),A-Tiger,Tablet,Vaskar Lavan,AY-102-A-037,Ayurvedic
163,Akram Laboratories (Ayurvedic),Gononil,Tablet,Brihat Bangeswar,AY-102-A-036,Ayurvedic
164,Akram Laboratories (Ayurvedic),Veginex,Tablet,Icchabhedi Ras,AY-102-A-035,Ayurvedic
165,Akram Laboratories (Ayurvedic),A-Azmonil,Tablet,Swaskaschintamoni,AY-102-A-018,Ayurvedic
166,Akram Laboratories (Ayurvedic),Vigo-30,Tablet,Joubansatadal,AY-102-A-019,Ayurvedic
167,Akram Laboratories (Ayurvedic),Skinitol,Tablet,Manikya Ras,AY-102-A-020,Ayurvedic
168,Akram Laboratories (Ayurvedic),Amrocid,Tablet,Dhatri Louha,AY-102-A-020,Ayurvedic
169,Akram Laboratories (Ayurvedic),Leucofen,Tablet,Pradarantak Louha,AY-102-A-022,Ayurvedic
170,Akram Laboratories (Ayurvedic),Ratibilas,Capsule,Ratibilas Bati,AY-102-A-028,Ayurvedic
171,Akram Laboratories (Ayurvedic),Supradyn,Capsule,Mahasankha Bati,AY-102-A-029,Ayurvedic
172,Akram Laboratories (Ayurvedic),X-P Silver,Capsule,Makardhwaj Rasayan,AY-102-A-030,Ayurvedic
173,Akram Laboratories (Ayurvedic),Diabe Care,Capsule,Bahu Mutrantak Ras,AY-102-A-031,Ayurvedic
174,Akram Laboratories (Ayurvedic),Ame-20,Capsule,Amlapittantak Ras,AY-102-A-032,Ayurvedic
175,Akram Laboratories (Ayurvedic),Silm-A,Capsule,Barabagni Louha,AY-102-A-033,Ayurvedic
176,Akram Laboratories (Ayurvedic),M-R 20,Capsule,Raja Prabartini Bati,AY-102-A-034,Ayurvedic
177,Akram Laboratories (Ayurvedic),Behesti Kas Oil,Oil (Liquid),Himsagar Taila,AY-102-A-044,Ayurvedic
178,Akram Laboratories (Ayurvedic),R.A. Care Oil,Oil (Liquid),Batrakhashi Taila,AY-102-A-045,Ayurvedic
179,Akram Laboratories (Ayurvedic),Vig Oil,Oil (Liquid),Shri Gopal Taila,AY-102-A-046,Ayurvedic
180,Akram Laboratories (Ayurvedic),Bronco Oil,Oil (Liquid),Basa Chandanadya Taila / Brihat Sarchandanadi Taila,AY-102-A-047,Ayurvedic
181,Akram Laboratories (Ayurvedic),Chyabanprash,Semi-Solid,Chyabanprash,AY-102-A-027,Ayurvedic
182,Akram Laboratories (Ayurvedic),Semogin,Semi-Solid,Sukrasanjibani Modak,AY-102-A-015,Ayurvedic
183,Aksim Laboratories (Ayurvedic),Green Tea,Syrup,Green Tea,AY-61-A-095,Ayurvedic
184,Aksim Laboratories (Ayurvedic),Green Tea Powder Drink,Powder,Green Tea,AY-61-A-096,Ayurvedic
185,Aksim Laboratories (Ayurvedic),Sriparni Taila,Oil (Liquid),Sriparni Taila,AY-61-A-097,Ayurvedic
186,Aksim Laboratories (Ayurvedic),Thankuni,Capsule,Thankuni 500 mg,AY-61-A-098,Ayurvedic
187,Aksim Laboratories (Ayurvedic),Himsagar Taila,Oil (Liquid),Himsagar Taila,AY-61-A-099,Ayurvedic
188,Aksim Laboratories (Ayurvedic),Mahabhringaraj Taila,Oil (Liquid),Mahabhringaraj Taila,AY-61-A-100,Ayurvedic
189,Aksim Laboratories (Ayurvedic),Laxmibilas Taila,Oil (Liquid),Laxmibilas Taila,AY-61-A-101,Ayurvedic
190,Aksim Laboratories (Ayurvedic),Leconid,Liquid,Patrangasav,AY-61-A-001,Ayurvedic
191,Aksim Laboratories (Ayurvedic),Dirox,Liquid,Kutajarista,AY-61-A-002,Ayurvedic
192,Aksim Laboratories (Ayurvedic),Citral,Liquid,Chandanasav,AY-61-A-003,Ayurvedic
193,Aksim Laboratories (Ayurvedic),Dicorex,Liquid,Vasakarista / Vasakasav,AY-61-A-004,Ayurvedic
194,Aksim Laboratories (Ayurvedic),Ascorex,Liquid,Aswagandharista,AY-61-A-005,Ayurvedic
195,Aksim Laboratories (Ayurvedic),Diaberex,Liquid,Jambadyarista,AY-61-A-006,Ayurvedic
196,Aksim Laboratories (Ayurvedic),Lancer,Liquid,Saribadyarista,AY-61-A-007,Ayurvedic
197,Aksim Laboratories (Ayurvedic),Belgin,Liquid,Mustakarista,AY-61-A-008,Ayurvedic
198,Aksim Laboratories (Ayurvedic),Infenta,Liquid,Jirakadyarista / Jirakarista,AY-61-A-009,Ayurvedic
199,Aksim Laboratories (Ayurvedic),Amtrax,Liquid,Prasarani Sandhan,AY-61-A-010,Ayurvedic
200,Aksim Laboratories (Ayurvedic),Cardorex,Liquid,Arjunarista,AY-61-A-011,Ayurvedic
201,Aksim Laboratories (Ayurvedic),Fevarex,Liquid,Amritarista,AY-61-A-012,Ayurvedic
202,Aksim Laboratories (Ayurvedic),Mensozin,Liquid,Ashokarista,AY-61-A-013,Ayurvedic
203,Aksim Laboratories (Ayurvedic),Harviton,Liquid,Balarista,AY-61-A-014,Ayurvedic
204,Aksim Laboratories (Ayurvedic),Levonid,Liquid,Rohitakarista,AY-61-A-015,Ayurvedic
205,Aksim Laboratories (Ayurvedic),Multirex,Liquid,Dasamularista,AY-61-A-016,Ayurvedic
206,Aksim Laboratories (Ayurvedic),Amacid,Liquid,Amalaki Rasayan,AY-61-A-017,Ayurvedic
207,Aksim Laboratories (Ayurvedic),Aksimin,Liquid,Maha Draksharista,AY-61-A-018,Ayurvedic
208,Aksim Laboratories (Ayurvedic),Coldex,Semi-Solid,Chyabanprash,AY-61-A-019,Ayurvedic
209,Aksim Laboratories (Ayurvedic),Fevacap,Capsule,Makardwaja,AY-61-A-020,Ayurvedic
210,Aksim Laboratories (Ayurvedic),Venorex,Capsule,Sidha Makardwaja,AY-61-A-021,Ayurvedic
211,Aksim Laboratories (Ayurvedic),Aksivit,Liquid,Upasam,AY-61-A-022,Ayurvedic
212,Aksim Laboratories (Ayurvedic),Sanjiplex,Semi-Solid,Sukrasanjibani Modak,AY-61-A-024,Ayurvedic
213,Aksim Laboratories (Ayurvedic),Iron Syrup,Liquid,Louhasav,AY-61-A-025,Ayurvedic
214,Aksim Laboratories (Ayurvedic),Babin,Liquid,Aravindasav,AY-61-A-026,Ayurvedic
215,Aksim Laboratories (Ayurvedic),Digetab,Tablet,Vaskar Lavan,AY-61-A-027,Ayurvedic
216,Aksim Laboratories (Ayurvedic),Enzimax,Liquid,Jamani Arka,AY-61-A-028,Ayurvedic
217,Aksim Laboratories (Ayurvedic),Amotrax,Liquid,Biranga Louha,AY-61-A-029,Ayurvedic
218,Aksim Laboratories (Ayurvedic),Livasab,Liquid,Kalameghasav,AY-61-A-030,Ayurvedic
219,Aksim Laboratories (Ayurvedic),Aksitec,Capsule,Mahagni Bati,AY-61-A-031,Ayurvedic
220,Aksim Laboratories (Ayurvedic),H-Free,Capsule,Mahalaksmi Bilas (Shirorog),AY-61-A-032,Ayurvedic
221,Aksim Laboratories (Ayurvedic),Lizard,Capsule,Ratibilas Bati,AY-61-A-033,Ayurvedic
222,Aksim Laboratories (Ayurvedic),Leucotab,Capsule,Raja Prabartini Bati,AY-61-A-034,Ayurvedic
223,Aksim Laboratories (Ayurvedic),Levocap,Capsule,Nabayas Louha,AY-61-A-035,Ayurvedic
224,Aksim Laboratories (Ayurvedic),Regain,Capsule,Joubansatadal,AY-61-A-036,Ayurvedic
225,Aksim Laboratories (Ayurvedic),Diacap,Capsule,Bahu Mutrantak Ras,AY-61-A-041,Ayurvedic
226,Aksim Laboratories (Ayurvedic),Neem Care,Capsule,Nimbadi Churna,AY-61-A-040,Ayurvedic
227,Aksim Laboratories (Ayurvedic),Re-Cap,Capsule,Brihat Purnachandra Ras,AY-61-A-039,Ayurvedic
228,Aksim Laboratories (Ayurvedic),Leucap,Capsule,Pradarari Ras,AY-61-A-038,Ayurvedic
229,Aksim Laboratories (Ayurvedic),Emove,Capsule,Vat Gajangkus,AY-61-A-037,Ayurvedic
230,Aksim Laboratories (Ayurvedic),Bilcap,Capsule,Pittantak Ras,AY-61-A-036,Ayurvedic
231,Aksim Laboratories (Ayurvedic),Noctonal,Capsule,Dhariti Bati /Karpur Ras,AY-61-A-042,Ayurvedic
232,Aksim Laboratories (Ayurvedic),Dentic,Powder,Dashan Sanskar Churna,AY-61-A-043,Ayurvedic
233,Aksim Laboratories (Ayurvedic),Exual,Powder,Nagbaladya Churna,AY-61-A-044,Ayurvedic
234,Aksim Laboratories (Ayurvedic),Gouter,Liquid,Batari,AY-61-A-045,Ayurvedic
235,Aksim Laboratories (Ayurvedic),Kesten,Oil (Liquid),Shri Gopal Taila,AY-61-A-046,Ayurvedic
236,Aksim Laboratories (Ayurvedic),Duplocon,Powder,Pushyanugn Churna,AY-61-A-047,Ayurvedic
237,Aksim Laboratories (Ayurvedic),Ovatrex,Tablet,Krimi Mudgar Ras,AY-61-A-048,Ayurvedic
238,Aksim Laboratories (Ayurvedic),Tempacol,Capsule,Mritunjoy Ras,AY-61-A-049,Ayurvedic
239,Aksim Laboratories (Ayurvedic),Wisen,Capsule,Saraswata Churna,AY-61-A-050,Ayurvedic
240,Aksim Laboratories (Ayurvedic),Gym,Capsule,Tankan Bati,AY-61-A-051,Ayurvedic
241,Aksim Laboratories (Ayurvedic),Laxatol,Capsule,Icchabhedi Ras,AY-61-A-052,Ayurvedic
242,Aksim Laboratories (Ayurvedic),Libiten,Capsule,Manmathavra Ras,AY-61-A-053,Ayurvedic
243,Aksim Laboratories (Ayurvedic),Lecopen,Capsule,Shibani Bati,AY-61-A-054,Ayurvedic
244,Aksim Laboratories (Ayurvedic),Gaster,Capsule,Dhatri Louha,AY-61-A-055,Ayurvedic
245,Aksim Laboratories (Ayurvedic),Harten,Capsule,Pravakar Bati,AY-61-A-56,Ayurvedic
246,Aksim Laboratories (Ayurvedic),Rheuten,Capsule,Bridhyadaradya Louha,AY-61-A-057,Ayurvedic
247,Aksim Laboratories (Ayurvedic),Digemax,Capsule,Mahasankha Bati,AY-61-A-058,Ayurvedic
